Date,Time,Name,Buy/Sell,Order,Exchange,Segment,Quantity/Lot,Trade Price,Trade Value,Status
2026-05-19,15:11:15,NIFTY 19 MAY 23650 PUT,SELL,INTRADAY,NSE,Derivative,130,29.55,3841.50,Traded
2026-05-19,15:10:36,NIFTY 19 MAY 23650 PUT,BUY,INTRADAY,NSE,Derivative,130,27.10,3523.00,Traded
2026-05-19,15:09:52,NIFTY 19 MAY 23600 CALL,SELL,INTRADAY,NSE,Derivative,130,26.95,3503.50,Traded
2026-05-19,15:08:07,NIFTY 19 MAY 23600 CALL,BUY,INTRADAY,NSE,Derivative,130,31.85,4140.50,Traded
2026-05-19,15:04:26,NIFTY 19 MAY 23600 PUT,SELL,INTRADAY,NSE,Derivative,650,0.85,552.50,Traded
2026-05-19,15:03:33,NIFTY 19 MAY 23600 PUT,BUY,INTRADAY,NSE,Derivative,650,1.95,1267.50,Traded
2026-05-19,15:01:56,NIFTY 19 MAY 23650 PUT,SELL,INTRADAY,NSE,Derivative,130,28.80,3744.00,Traded
2026-05-19,15:01:16,NIFTY 19 MAY 23650 PUT,BUY,INTRADAY,NSE,Derivative,130,23.40,3042.00,Traded
2026-05-19,14:58:12,NIFTY 19 MAY 23650 PUT,SELL,INTRADAY,NSE,Derivative,130,12.35,1605.50,Traded
2026-05-19,14:56:23,NIFTY 19 MAY 23650 PUT,BUY,INTRADAY,NSE,Derivative,130,18.50,2405.00,Traded
2026-05-19,14:54:28,NIFTY 19 MAY 23650 CALL,SELL,INTRADAY,NSE,Derivative,195,11.85,2310.75,Traded
2026-05-19,14:50:11,NIFTY 19 MAY 23650 CALL,BUY,INTRADAY,NSE,Derivative,195,17.95,3500.25,Traded
2026-05-19,14:45:16,NIFTY 19 MAY 23600 PUT,SELL,INTRADAY,NSE,Derivative,325,5.15,1673.75,Traded
2026-05-19,14:44:17,NIFTY 19 MAY 23600 PUT,BUY,INTRADAY,NSE,Derivative,325,4.25,1381.25,Traded
2026-05-19,14:43:05,NIFTY 19 MAY 23700 PUT,SELL,INTRADAY,NSE,Derivative,65,39.30,2554.50,Traded
2026-05-19,14:42:30,NIFTY 19 MAY 23700 PUT,BUY,INTRADAY,NSE,Derivative,65,32.90,2138.50,Traded
2026-05-19,14:36:54,NIFTY 19 MAY 23700 PUT,SELL,INTRADAY,NSE,Derivative,130,27.08,3519.75,Traded
2026-05-19,14:35:51,NIFTY 19 MAY 23700 PUT,BUY,INTRADAY,NSE,Derivative,130,27.95,3633.50,Traded
2026-05-19,14:33:50,NIFTY 19 MAY 23700 PUT,SELL,INTRADAY,NSE,Derivative,65,21.20,1378.00,Traded
2026-05-19,14:32:06,NIFTY 19 MAY 23700 PUT,SELL,INTRADAY,NSE,Derivative,130,18.73,2434.25,Traded
2026-05-19,14:29:45,NIFTY 19 MAY 23700 PUT,BUY,INTRADAY,NSE,Derivative,195,18.20,3549.00,Traded
2026-05-19,14:25:12,NIFTY 19 MAY 23700 PUT,SELL,INTRADAY,NSE,Derivative,195,16.70,3256.50,Traded
